object_number,taxonomy.scientific_name,taxonomy.common_name,preparation,form,field_coll.name,field_coll.place,field_coll.date.start,field_coll.date.end
NH:2006.12.1938,"Accipiter nisus (Linnaeus, 1758)Falco tinnunculus Linnaeus, 1758Falco subbuteo Linnaeus, 1758",Eurasian sparrowhawkcommon kestrelEurasian hobby,taxidermy,diorama,,,,
NH:1916.128.2388,"Acrocephalus schoenobaenus (Linnaeus, 1758)Saxicola rubetra (Linnaeus, 1758)",sedge warblerwhinchat,skin,boxed,"Hamilton, John",Maidens West,1899-05-12,1899-05-13
NH:1933.86,"Agrius convolvuli (Linnaeus, 1758)Oenanthe oenanthe (Linnaeus, 1758)Locustella naevia (Boddaert, 1783)",convolvulus hawkmothNorthern wheatearGrasshopper Warbler,,,,Hook Head Lighthouse,28/05/1933,29/05/1933
NH:1915.155,"Anthus pratensis (Linnaeus, 1758)Cuculidae",meadow pipit,,,,Enfield (Co. Meath),,
NH:2008.73.163,"Anthus richardi Vieillot, 1818Anthus campestris (Linnaeus, 1758)",Richard's pipittawny pipit,taxidermy,mounted,,Crimea Oblast (autonomous republic),,
NH:2003.30.555,"Aratinga solstitialis (Linnaeus, 1758)Aratinga solstitialis solstitialis",Crimson Rosella,taxidermy,mounted,,,,
NH:2003.51.1252,Aulacorhynchus prasinusAulacorhynchus prasinus albivitta,Emerald Toucanet,skin,,"Salmon, J.K.",Concordia (Colombia),,
NH:1960.4.1,"Aythya nyroca (Güldenstädt, 1770)Aythya nyroca (Güldenstädt, 1770)",ferruginous pochardferruginous pochard,skin,,,South Slob,11/02/1960,11/02/1960
NH:2015.28.1,"Buteo buteo (Linnaeus, 1758)Oryctolagus cuniculus (Linnaeus, 1758)",common buzzardEuropean rabbit,taxidermy,mounted,,Ireland,,
NH:2008.73.434,"Cuculus canorus Linnaeus, 1758Anthus pratensis (Linnaeus, 1758)",common cuckoomeadow pipit,taxidermyegg,diorama,,Co. Meath,,
NH:2008.73.384,"Emberiza caesia Cretzschmar, 1827Emberiza cia Linnaeus, 1766",Cretzschmar's buntingrock bunting,taxidermy,mounted,,Crimea Oblast (autonomous republic),,
NH:1946.71.12,"Erithacus rubecula (Linnaeus, 1758)Erithacus rubecula melophilus Hartert, 1901",European robin,skin,,,Tuskar Rock Lighthouse,15/08/1912,
NH:1921.139.8,"Falco columbarius Linnaeus, 1758Emberiza citrinella Linnaeus, 1758",merlinyellowhammer,taxidermy,mounted,,Ireland,,
NH:1907.304,"Lagopus lagopus (Linnaeus, 1758)Lyrurus tetrix (Linnaeus, 1758)",red grouseEurasian black grouse,skeleton,,,Co. Durham,,
NH:1902.273.1,"LepusLagopus lagopus (Linnaeus, 1758)Mustela erminea Linnaeus, 1758",harered grousestoat,,,,Norway,,
NH:2004.82.1746,"Melanochlora sultanea (Hodgson, 1837)Melanochlora sultanea flavocristata (Lafresnaye, 1837)",Sultan Tit,skin,,,Sumatra (island),,
NH:2004.82.1747,"Melanochlora sultanea (Hodgson, 1837)Melanochlora sultanea flavocristata (Lafresnaye, 1837)",Sultan Tit,skin,,,Sumatra (island),1865,
NH:2007.77.1,"Mustela erminea Linnaeus, 1758Emberiza citrinella Linnaeus, 1758",stoatyellowhammer,taxidermy,,Data available,Co. Carlow,,
NH:2004.82.1275,Myadestes genibarbisMyadestes genibarbis solitarius,Rufous-throated Solitaire,skin,,,Jamaica (Island),1866-04,
NH:2004.82.1276,Myadestes genibarbisMyadestes genibarbis solitarius,Rufous-throated Solitaire,skin,,,Jamaica (Island),1866-04,
NH:2004.82.1274,Myadestes ralloidesMyadestes ralloides melanops,Andean Solitaire,skin,,,Veragua,,
NH:2004.82.441,Myiarchus tuberculiferMyiarchus tuberculifer lawrencei,Olivaceous Flycatcher,skin,,"Salvin, Osbert",Duenas,1858-01-31,
NH:2004.82.473,Myiodynastes maculatusMyadestes genibarbis solitarius,Streaked Flycatcher,skin,,,Brazil,1847,
NH:2004.82.474,Myiodynastes maculatusMyadestes genibarbis solitarius,Streaked Flycatcher,skin,,,Brazil,,
NH:1894.82.60,Petroica multicolorPetroica multicolor leggei,Scarlet Robin,skin,,,Victoria (Australia),,
NH:1894.82.61,Petroica multicolorPetroica multicolor leggei,Scarlet Robin,skin,,,Victoria (Australia),,
NH:1894.82.68,Petroica multicolorPetroica multicolor leggei,Scarlet Robin,skin,,,Victoria (Australia),,
NH:1894.82.69,Petroica multicolorPetroica multicolor leggei,Scarlet Robin,skin,,,Victoria (Australia),,
NH:2004.82.954,Petroica multicolorPetroica multicolor leggei,Scarlet Robin,skin,,,Australia,,
NH:2004.82.964,Petroica multicolorPetroica multicolor leggei,Scarlet Robin,skin,,,Australia,,
NH:1911.379,"Podiceps cristatus (Linnaeus, 1758)Fulica atra Linnaeus, 1758",great crested grebecommon coot,,,,Lough Ennell,,
NH:2004.82.1101,"Pycnonotus jocosus (Linnaeus, 1758)Pycnonotus jocosus emeria",Red-whiskered Bulbul,skin,,,India,,
NH:1887.2902.1159,"Pycnonotus jocosus (Linnaeus, 1758)Pycnonotus jocosus fusicaudatus",Red-whiskered Bulbul,skin,,,India,1876-04-17,
NH:1932.6.11,"Pyrrhula pyrrhula (Linnaeus, 1758)Pyrrhula pyrrhula nesa",Eurasian bullfinch,taxidermy,mounted,,Dublin (city),,
NH:1891.75.2,"Rallus aquaticus Linnaeus, 1758Rallus aquaticus aquaticus Linnaeus, 1758",water rail,skin,,,Kildare (town),,
NH:1952.12.1,"Rallus aquaticus Linnaeus, 1758Rallus aquaticus hibernans Salomonsen, 1931",water rail,skin,,,Tuskar Rock Lighthouse,01/10/1951,31/10/1951
NH:2003.30.544,Trichoglossus haematodusTrichoglossus haematodus rubritorquis,Swainson's lorikeet,taxidermy,mounted,,,,
NH:2003.30.545,Trichoglossus haematodusTrichoglossus haematodus rubritorquis,Swainson's lorikeet,taxidermy,mounted,,,,
NH:2008.73.414,"Uria aalge (Pontoppidan, 1763)Fratercula arctica (Linnaeus, 1758)Larus argentatus Pontoppidan, 1763",common guillemotAtlantic puffinherring gull,taxidermy,diorama,,,,
NH:2003.51.1851,"Abeillia abeillei (Lesson & Delattre, 1839)",Emerald-chinned Hummingbird,skin,,,Cobán,1859-11,1871
NH:1925.69.205,"Abroscopus albogularis (Moore, 1854)",rufous-faced warbler,skin,,"Falkiner, J.M.",Margherita,18/11/1902,
NH:1925.69.206,"Abroscopus albogularis (Moore, 1854)",rufous-faced warbler,skin,,"Falkiner, J.M.",Margherita,08/12/1902,
NH:1925.69.367,"Abroscopus albogularis (Moore, 1854)",rufous-faced warbler,skin,,"Falkiner, J.M.",Margherita,08/12/1902,
NH:1925.69.442,"Abroscopus albogularis (Moore, 1854)",rufous-faced warbler,skin,,"Falkiner, J.M.",Margherita,1902-12,
NH:1887.2902.1000,Abroscopus schisticeps (Gray & Gray),black-faced warbler,skin,,"Mandelli, L.",Sikkim,,
NH:1887.2902.1008,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Mandelli, L.",Sikkim,,
NH:1887.2902.999,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Mandelli, L.",Sikkim,,
NH:1925.69.203,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Falkiner, J.M.",Margherita,30/11/1903,
NH:1925.69.204,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Falkiner, J.M.",Margherita,17/11/1902,
NH:1925.69.302,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Falkiner, J.M.",Margherita,18/12/1902,
NH:1925.69.303,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Falkiner, J.M.",Margherita,1902-12,
NH:1925.69.304,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Falkiner, J.M.",Margherita,29/11/1902,
NH:1925.69.305,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Falkiner, J.M.",Margherita,24/11/1902,
NH:1925.69.306,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Falkiner, J.M.",Margherita,04/12/1902,
NH:1925.69.307,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Falkiner, J.M.",Margherita,1902-12,
NH:1925.69.308,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Falkiner, J.M.",Margherita,17/11/1902,
NH:1925.69.309,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Falkiner, J.M.",Margherita,18/12/1902,
NH:1925.69.310,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Falkiner, J.M.",Margherita,16/11/1902,
NH:1925.69.311,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Falkiner, J.M.",Margherita,30/11/1902,
NH:1925.69.312,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Falkiner, J.M.",Margherita,04/12/1902,
NH:1925.69.440,"Abroscopus superciliaris (Blyth, 1859)",yellow-bellied warbler,skin,,"Falkiner, J.M.",Margherita,04/12/1903,
NH:2004.79.227,Aburria aburri (Less.),Wattled Guan,skeleton,boxed,,South America,,
NH:1914.163.1,Aburria aburri (Less.),Wattled Guan,skin,,"S. Briceno Gabaldon e hijos Naturalistas (Merida, Venezuela)",Mérida (Venezuela),14/04/1904,
NH:1894.82.138,"Acanthagenys rufogularis Gould, 1838",Spiny-cheeked Honeyeater,skin,,,Victoria (Australia),,
NH:1894.82.139,"Acanthagenys rufogularis Gould, 1838",Spiny-cheeked Honeyeater,skin,,,Victoria (Australia),,
NH:1894.82.140,"Acanthagenys rufogularis Gould, 1838",Spiny-cheeked Honeyeater,skin,,,Victoria (Australia),,
NH:2006.12.977,"Acanthagenys rufogularis Gould, 1838",Spiny-cheeked Honeyeater,skin,,White (Major),Australia,,
NH:1912.369.1,"Acanthis flammea (Linnaeus, 1758)",mealy redpoll,skin,,,Co. Dublin,03/05/1912,03/05/1912
NH:1927.32.1,Acanthis flammea flammea,,taxidermy,mounted,,Doogort,1894-11-01,1894-11-30
NH:2006.12.1923,"Acanthiza nana Vigors & Horsfield, 1827",Yellow Thornbill,taxidermy,mountedboxed,,Australia,,
NH:1894.82.109,Acanthiza pusilla (White),Brown Thornbill,skin,,,Victoria (Australia),,
NH:1894.82.110,Acanthiza pusilla (White),Brown Thornbill,skin,,,Victoria (Australia),,
NH:1887.2902.1608,Acanthopneuste lugubris (Blyth),,skin,,"Mandelli, L.",Sikkim,,
NH:1887.2902.1609,Acanthopneuste lugubris (Blyth),,skin,,"Mandelli, L.",Sikkim,,
NH:1887.2902.1610,Acanthopneuste lugubris (Blyth),,skin,,"Oldham, Thomas (Dr)",Kolkata,,
NH:1887.2902.1611,Acanthopneuste magnirostris (Blyth),,skin,,,Bihar,1874-12,
NH:1887.2902.1598,Acanthopneuste viridana (Blyth),,skin,,"Ball, Valentine (CB, FRS)",Kolkata,1872-11,
NH:1887.2902.1599,Acanthopneuste viridana (Blyth),,skin,,,India,1876-12-05,
NH:1887.2902.1600,Acanthopneuste viridana (Blyth),,skin,,,Sambalpur,,
NH:1887.2902.1601,Acanthopneuste viridana (Blyth),,skin,,,Sambalpur,1876-12-05,
NH:1887.2902.1602,Acanthopneuste viridana (Blyth),,skin,,,Lohardugga,1877-12-18,
NH:1887.2902.1603,Acanthopneuste viridana (Blyth),,skin,,,Lohardugga,1877-12-21,
NH:1887.2902.1604,Acanthopneuste viridana (Blyth),,skin,,,Lohardugga,1877-12-19,
NH:1887.2902.1605,Acanthopneuste viridana (Blyth),,skin,,,Sambalpur,1876-02-19,
NH:1887.2902.1606,Acanthopneuste viridana (Blyth),,skin,bagged,"Ball, Valentine (CB, FRS)",Sambalpur,1877-01-12,
NH:1887.2902.1607,Acanthopneuste viridana (Blyth),,skin,,"Mandelli, L.",Bhutan (Lower Hills),1874-04-01,1874-04-30
NH:1925.69.636,Acanthopneustes plumbeitarsus (Swinh.),,skin,,"Falkiner, J.M.",Margherita,19/01/1903,
NH:2008.73.320,Acanthorhynchus superciliosus Gould,White Eye-Browed Spine Bill,taxidermy,mounted,,Australia,,
NH:2008.73.322,Acanthorhynchus superciliosus Gould,White Eye-Browed Spine Bill,taxidermy,mounted,,Australia,,
NH:2008.73.327,Acanthorhynchus tenuirostris (Lath.),Spine-Bill Honey-Sucker,taxidermy,mounted,,New South Wales,,
NH:1894.82.136,"Acanthorhynchus tenuirostris (Latham, 1802)",Spinebill,skin,,,Victoria (Australia),,
NH:1894.82.137,"Acanthorhynchus tenuirostris (Latham, 1802)",Spinebill,skin,,,Victoria (Australia),,
NH:2006.12.968,"Acanthorhynchus tenuirostris (Latham, 1802)",Spinebill,skin,,,Australia,,
NH:1887.2902.2313,Accipiter badius (Gmelin),shikra,skin,,,Sirguja,1872-04-12,
NH:1887.2902.704,Accipiter badius (Gmelin),shikra,skin,,,Satpura Hills,1874-02-09,
NH:1887.2902.705,Accipiter badius (Gmelin),shikra,skin,,,Talchir,1875-12-13,
NH:1887.2902.706,Accipiter badius (Gmelin),shikra,skin,,,Satpura Hills,1874-02-22,
NH:1887.2902.707,Accipiter badius (Gmelin),shikra,skin,,,Sambalpur,1876-02-20,
NH:1904.266.1,Accipiter badius (Gmelin),shikra,skin,,,Tanganyika Co.,,
NH:1966.26.45,Accipiter badius (Gmelin),shikra,skin,bagged,,Ithanga Hills,03/09/1945,24/10/1966
NH:2003.51.1447,Accipiter badius (Gmelin),shikra,skin,,,Tripura,,
NH:2003.51.1448,Accipiter badius (Gmelin),shikra,skin,,,Calcutta,,
NH:2003.51.1449,Accipiter badius (Gmelin),shikra,skin,,,Tripura,,
NH:2003.51.1450,Accipiter badius (Gmelin),shikra,skin,,,,,
NH:2003.52.751,Accipiter badius (Gmelin),shikra,skin,,,Sri Lanka (nation),1876,
NH:2003.52.109,Accipiter badius (Gmelin),shikra,taxidermy,mounted,,Kolkata,,
NH:1966.26.487,Accipiter badius sphenurus (Ruppell),Eritrean shikra,skin,,,Ithanga Hills,01/04/1944,24/10/1966
NH:1966.26.66,Accipiter badius sphenurus (Ruppell),Eritrean shikra,skin,,,Thika,17/02/1939,24/10/1966
NH:1966.26.442,Accipiter chilensis Philippi & Landbeck,Chilean hawk,skin,,"Peddar, Thomas",Ibacache Hill,12/08/1949,24/10/1966
NH:1894.82.51,Accipiter cirrocephalus (Vieillot),collared sparrowhawk,skin,,,Victoria (Australia),,
NH:2003.51.1459,Accipiter cirrocephalus (Vieillot),collared sparrowhawk,skin,,,Port Essington (Australia),,
NH:1886.153.1,Accipiter cooperii (Bonaparte),Cooper's hawk,skin,,,Amelia,1877-08-12,
NH:2003.51.1453,Accipiter francesiae Smith,Frances's goshawk,skin,,,Madagascar,1876-03-16,
NH:1886.152.1,Accipiter fuscus (Gm.),,skin,,,Amelia,1878-03-06,
NH:2003.51.1461,Accipiter fuscus (Gm.),,skin,,,North America,,
NH:1883.77.1,Accipiter gentilis (Linnaeus),northern goshawk,taxidermy,mounted,,,,
NH:2003.52.752,Accipiter gentilis (Linnaeus),northern goshawk,taxidermy,boxed,,Oak Park (Co. Carlow),,
NH:1919.101.1,Accipiter gentilis atricapillus (Wilson),American goshawk,taxidermy,mounted,,Strabane,24/02/1919,
NH:2003.51.1454,Accipiter haplochrous Sclater,white-bellied goshawk,skin,,,New Caledonia (dependent state),,
NH:1966.26.480,Accipiter melanoleucus melanoleucus Smith,black goshawk,skin,,Data available,Kiambu; Nairobi (near),24/08/1947,24/10/1966
NH:1966.26.483,Accipiter melanoleucus melanoleucus Smith,black goshawk,skin,,,Molo,03/07/1946,24/10/1966
NH:1966.26.56,Accipiter minullus (Daudin),little sparrowhawk,skin,bagged,,Chania River (Thika),18/08/1944,24/10/1966
NH:1966.26.86,Accipiter minullus (Daudin),little sparrowhawk,skin,bagged,,Chania River (Thika),03/10/1944,24/10/1966
NH:2003.51.1460,Accipiter minullus (Daudin),little sparrowhawk,skin,,,South Africa,,
NH:2003.52.106,Accipiter minullus (Daudin),little sparrowhawk,taxidermy,mounted,,South America,,
NH:1899.101.52,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skeleton,boxed,,,,
NH:1899.101.85,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skeleton,boxed,,,,
NH:1906.208.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skeleton,boxed,,,,
NH:1906.311.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skeleton,boxed,,Mallow,,
NH:1909.58.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skeleton,boxed,,,,
NH:1921.132.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skeleton,boxed,,Haroldscross,19/08/1921,
NH:1932.16.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skeleton,boxed,,Malahide,06/03/1932,
NH:1932.17.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skeleton,boxed,,School of Art (Dublin),09/03/1932,
NH:1939.91.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skeleton,boxed,,Coolock (parish),26/11/1939,26/11/1939
NH:2004.79.33,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skeleton,boxed,,,,
NH:2004.79.34,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skeleton,boxed,,,,
NH:2004.79.36,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skeleton,boxed,,Inishowen (Co. Derry),,
NH:1884.296.85,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,"Campbell, Colin John",Egypt,,
NH:1887.2839.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,,,
NH:1887.2902.709,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Sikkim,,
NH:1891.54.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Cappagh (Co. Waterford),1891-05-16,
NH:1891.75.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Co. Dublin,,
NH:1891.77.52,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Finland,1890-05-17,
NH:1891.77.53,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Finland,1890-09-14,
NH:1892.193.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Co. Roscommon,,
NH:1892.28.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Cappagh (Co. Waterford),,
NH:1893.21.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Abbeyleix (parish) (Co. Laois),,
NH:1894.13.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Comeragh Mountains,,
NH:1894.28.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Co. Longford,,
NH:1894.28.2,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Co. Longford,,
NH:1895.171.13,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Sweden,1894-06-20,
NH:1896.47.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Cappagh (Co. Waterford),,
NH:1898.132.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Derrylin,1898-11-29,
NH:1899.90.3,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Lucan (town) (Co. Dublin),,
NH:1900.7.65,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Braunschweig,1887-01-18,
NH:1900.7.66,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Braunschweig,1884-11-03,
NH:1900.7.67,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,NorfolkCambridge (Cambridgeshire),1892,
NH:1900.7.68,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,NorfolkCambridge (Cambridgeshire),1892,
NH:1900.7.69,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Braunschweig,1884-06,
NH:1901.10.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Cappagh (Co. Waterford),05/01/1901,
NH:1905.17.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Edenderry (Co. Offaly),02/02/1905,
NH:1905.245.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Westport (town),03/12/1905,
NH:1905.247.23,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,South America,,
NH:1907.234.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,,,
NH:1909.66.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Co. Dublin,01/01/1909,31/01/1909
NH:1910.555.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Co. Dublin,06/01/1910,06/01/1910
NH:1911.156.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Achill (parish),15/10/1910,
NH:1912.25.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Ballynamintra,01/01/1912,10/01/1912
NH:1913.34.150,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Bradfield (Essex),1897-11-05,
NH:1913.34.151,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Ramsey,25/11/1900,
NH:1913.34.152,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Dovercourt,1896-02-24,
NH:1913.34.153,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Lough Caragh,18/01/1902,
NH:1913.34.154,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Copperas Wood,1895-12-27,
NH:1913.34.155,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,,,
NH:1916.122.154,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Saint John's Point (Co. Down),29/09/1913,
NH:1916.122.155,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Old Head of Kinsale,31/05/1910,
NH:1916.122.156,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Old Head of Kinsale,09/10/1910,
NH:1916.128.921,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,boxed,"Lavelle, J.H.",Bull Rock Lighthouse,22/10/1912,
NH:1921.105.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,San Miguel (Tenerife),1911-10,
NH:1933.162.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Co. Meath,08/11/1933,
NH:1946.65.2,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Smerwick,,
NH:1953.8.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Sandymount (Dublin 4),07/10/1953,07/10/1953
NH:1969.39.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Rosmeen (near),,
NH:1972.42.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,Newcastle,28/09/1972,28/09/1972
NH:2003.51.1455,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,,,
NH:2003.51.1457,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,skin,,,,,
NH:1878.483.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mounted,,Ireland,,
NH:1901.27.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mounted,,Dublin (city),,
NH:1901.52.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mounted,,Co. Antrim,,
NH:1901.68.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mounted,,Co. Laois,,
NH:1902.295.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mounted,,Co. Dublin,,
NH:1902.295.2,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mounted,,Co. Dublin,,
NH:1903.182.1,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mountedglass case [also glass dome],,Dublin (city),,
NH:1903.182.2,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mountedglass case [also glass dome],,Dublin (city),,
NH:1903.182.3,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mountedglass case [also glass dome],,Dublin (city),,
NH:1916.124.20,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mounted,,Co. Dublin,,
NH:1916.124.22,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mounted,,Co. Dublin,,
NH:1916.124.23,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mounted,,Co. Dublin,,
NH:1916.124.25,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mounted,,Co. Dublin,,
NH:1916.124.27,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mounted,,Co. Dublin,,
NH:1921.139.11,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mounted,,Killyfaddy (ambiguous locality),1868,
NH:1921.139.7,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mounted,J.M.,Longford (town),,
NH:2003.52.749,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,taxidermy,mounted,,Ireland,,
NH:1913.416,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,,,,Co. Dublin,,
NH:1960.26.42,"Accipiter nisus (Linnaeus, 1758)",Eurasian sparrowhawk,,,,Ireland,,29/09/1960
NH:1944.20.1,Accipiter nisus nisus (Linnaeus),Eurasian sparrowhawk,skin,,,Inishowen Lighthouse,,
NH:2003.51.1456,Accipiter nisus nisus (Linnaeus),Eurasian sparrowhawk,skin,,,Ashford (Co. Wicklow),1950-04,
NH:2004.79.32,Accipiter novaehollandiae (Gmelin),grey goshawk,skeleton,boxed,,,,
NH:2003.52.108,Accipiter novaehollandiae (Gmelin),grey goshawk,taxidermy,mounted,,Australia,,
NH:1966.26.484,Accipiter ovampensis Gurney,Ovampo sparrowhawk,skin,,,Mitubiri,03/11/1947,24/10/1966
NH:1966.26.57,Accipiter ovampensis Gurney,Ovampo sparrowhawk,skin,bagged,,Ithanga Hills,11/02/1945,24/10/1966
NH:1966.26.85,Accipiter ovampensis Gurney,Ovampo sparrowhawk,skin,bagged,,Thika,10/07/1939,24/10/1966
NH:1966.26.89,Accipiter ovampensis Gurney,Ovampo sparrowhawk,skin,bagged,,Thika,24/05/1939,24/10/1966
NH:2003.51.1452,Accipiter rufitorques (Peale),Fiji goshawk,skin,,,Fiji,,
NH:1966.26.477,Accipiter rufiventris rufiventris Smith,rufous-chested sparrowhawk,skin,,,South Kinangot,10/02/1947,24/10/1966
